name,locare,location,price,time,tag,type
慢山里冰川时代,净月开发区,净月开发区新湖镇新兴村刘家学坊屯,48,08:00-17:00Mon-Sun,家庭亲子,主题乐园
长春眼（摩天轮）,净月开发区,净月开发区仙台大街与湛江路交口摩天活力城六层,56,10:00-20:00/Mon-Sun,家庭亲子,主题公园
这有山夜市,朝阳区,朝阳区红旗街1005号,399,17：30-02：30/Mon-Sun,环境热闹/人气旺/价格高,夜市
长春凯撒森林温泉,净月开发区,净月开发区净月大街6366号,147,08:00-17:00Mon-Sun,水干净/交通便利,温泉
长春水文化生态园,南关区,南关区南岭南检公寓,18,08:30-17:30/Mon-Sun,家庭亲子/地方赞,生态园
长春莲花山世茂滑雪场,二道区,二道区四家乡青山村?,215,08:30-16:00Mon-Sun,家庭亲子/服务热情/环境很好,滑雪场
净月潭滑雪场,净月开发区,净月开发区净月经济开放区净月潭国家风景名胜区内环潭南路,160,09:00-16:00/Mon-Sun,人气旺/环境好,滑雪场
天定山滑雪场,二道区,二道区泉眼大街西100米,146,09:00-16:00/Mon-Sun,人气旺/雪道好,滑雪场
长春动植物公园,南关区,南关区自由大路2121号,34,08:30-17:00/Mon-Sun,家庭亲子,公园
长春市南湖公园,朝阳区,朝阳区工农大路2715号,45,allday,环境好/家庭亲子,公园
长春冰雪新天地,二道区,二道区泉眼大街与冰雪大路交会处冰雪新天地游客服务中心,207,08:30-16:00Mon-Sun,环境好/地方赞/家庭亲子,公园
莲花岛影视休闲文化园,朝阳区,朝阳区永春镇柳家村文化路,47,08:30-17:00Mon-Sun,家庭亲子/环境好/情侣约会,公园
水溶洞风景旅游区,双阳区,双阳区吊水壶路,37,08:30-16:00Mon-Sun,家庭亲子/服务热情/环境很好,风景区
净月潭风景名胜区,净月开发区,净月开发区净月大街5840号,56,allday,环境好/人气旺/地方赞,风景区
神鹿峰旅游度假区,双阳区,双阳区双阳山河街道旅游路18888号,98,08:00-17:00/Mon-Sun,家庭亲子/服务热情/环境很好,度假村
